#{"white_adult"=>478.457694120514, "white_juvenile"=>508.56767333967616, "black_adult"=>1161.4694060540446, "black_juvenile"=>1419.0243687653192, "male_juvenile"=>1141.5436977844693, "female_juvenile"=>480.65117698979964}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,476.44120095998437,1047.5642429755032,623.8107205686999,1461.9292755963795,1294.9221591735777,505.4904607079321
2006,445.1497883764269,1057.1440236251547,646.2695575467756,1671.7135454062995,1495.795312220433,592.5437299547347
2007,466.8527195799185,1079.8538044080185,584.8860781594033,1459.4470499491654,1256.118417172849,546.0690594496431
2008,519.1297571862855,1202.2978135367714,504.4941069492533,1493.8766891891892,1144.9088815120926,504.6104697596747
2009,462.9275574488034,1222.272401243259,425.01027658699866,1265.0784583851348,972.8758536909053,395.71766005092184
2010,527.2998159562969,1293.7432575292612,439.50233795416614,1324.6225005849215,989.3198426082067,451.7505333166018
2011,453.35526987865006,1211.814648924569,382.6886753716022,1208.1305468079015,876.9544527532291,385.3093533554508
