#{"white_adult"=>221.20773895274726, "white_juvenile"=>589.0820122563018, "black_adult"=>907.9743734953518, "black_juvenile"=>623.5048607929964, "male_juvenile"=>997.2998585022003, "female_juvenile"=>204.35023552230535}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,240.3414046323975,975.4562617998743,627.1892782477466,783.8383838383838,1024.2575777514587,274.3027071369975
2006,201.74673426306484,901.5944706767946,557.196656820059,436.8646559690834,899.1472005932517,194.12643106022895
2007,211.3449249254553,1039.9799682831149,555.6250086816408,806.7375886524823,1042.1375716766995,155.181610979099
2008,267.85519215223616,1362.3198167856663,607.8913065276246,529.7545470598623,1071.6363148239295,196.06998190123244
2009,300.59452768078694,1252.0841349236885,640.45430237592,616.0520607375271,1077.0643733823163,166.0538488909975
2010,314.19750443316735,955.0771528123444,793.0775854884859,902.7539709747458,1373.47084451227,289.118189521958
2011,10.372959010741125,21.22961956521739,336.1135316818125,350.0175008750437,514.4592512011604,161.6120805030176
