#{"white_adult"=>0.0, "white_juvenile"=>526.0750008427602, "black_adult"=>0.0, "black_juvenile"=>551.909307875895, "male_juvenile"=>686.7606743929891, "female_juvenile"=>428.56706749635885}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,0.0,0.0,697.244623655914,604.089219330855,818.2385580345814,644.5664543030625
2006,0.0,0.0,744.2742708862187,992.7555674805473,944.1669851226166,621.7501936054873
2007,0.0,0.0,735.9599871825237,737.4631268436578,974.0132737016417,564.7514227113846
2008,0.0,0.0,512.7444680605671,647.5800954328562,666.3900519281304,429.90144209972914
2009,0.0,0.0,397.53295723597677,473.0368968779565,543.69726539494,325.6221475369104
2010,0.0,0.0,345.83216462248515,346.29728289824186,458.4344733110625,266.7820784455584
2011,0.0,0.0,316.5172437590579,388.1485315047225,454.4592668709593,241.68813642497852
