#{"white_adult"=>156.25012012833167, "white_juvenile"=>145.9179103399454, "black_adult"=>462.3923705258863, "black_juvenile"=>198.8862370723946, "male_juvenile"=>227.3765342694757, "female_juvenile"=>82.42431881765908}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,183.7265058919078,491.2939816487248,124.0988514173998,209.10780669144978,186.55564776647623,70.6032842986602
2006,158.19092979492876,476.94753577106513,140.6752411575563,187.81862087469815,195.02681618722573,101.0436257698123
2007,144.18045347271575,442.954627080091,145.93811388049096,147.49262536873155,230.13834378626473,85.21824537077158
2008,130.87708954226989,300.8515628983734,158.50262798016246,255.6237218813906,255.8686331459897,87.17815621527015
2009,148.95529844586903,513.7503777576308,138.03227681804748,141.91106906338695,220.08270149966214,69.30913180504518
2010,166.37981835018567,480.0090354641969,155.86352857179284,186.46776771443794,233.12264173616285,94.31037155702548
2011,164.40047379583132,556.7192150810274,154.33744690729088,245.82740328632423,264.84638298132614,69.93006993006993
