#{"white_adult"=>29.008282688588803, "white_juvenile"=>4.464066496734535, "black_adult"=>168.0878268344413, "black_juvenile"=>15.193152952402786, "male_juvenile"=>10.702585293971852, "female_juvenile"=>2.645505826726583}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,34.63320044131552,257.42332872026907,4.62489767413896,4.504639778972342,8.864825056087065,0.0
2006,48.597988907742675,270.39998918400045,21.705216034728345,36.22500905625226,38.57679192642855,9.705041395734261
2008,29.20597542803934,232.68687362817732,0.8939386489905198,53.86699748620679,17.47229633014576,6.608705868530811
2009,23.86810224662073,93.84924083231954,0.0,0.0,0.0,0.0
2010,20.67455221054784,92.89406681583212,0.0,0.0,0.0,0.0
2011,18.262592697969566,84.0428925477879,0.0,0.0,0.0,0.0
