#{"white_adult"=>0.0, "white_juvenile"=>11549.393331422567, "black_adult"=>0.0, "black_juvenile"=>16546.044884088693, "male_juvenile"=>22081.904343565744, "female_juvenile"=>7525.9523161838915}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,0.0,0.0,14904.330312185297,18515.602790351855,26235.08665582895,8445.85011629886
2006,0.0,0.0,13300.923856355237,20189.167640537795,26211.19696353531,9268.715810680358
2007,0.0,0.0,12316.498578715782,16964.912482594336,23288.81469115192,7744.415703199806
2008,0.0,0.0,12013.385155779104,17432.570433111072,22453.25929645273,8383.882829933684
2009,0.0,0.0,10157.107779530073,16671.59289637676,20932.494363478287,7307.267854327605
2010,0.0,0.0,10255.610972568578,13958.41130239521,19788.825058570557,6128.205959599234
2011,0.0,0.0,6509.288670709404,11009.937105231396,14003.24627416261,4637.959805557572
