#{"white_adult"=>7.719706584743701, "white_juvenile"=>2.0899015954905895, "black_adult"=>9.903055278235621, "black_juvenile"=>2.018774603815484, "male_juvenile"=>3.8012535689547398, "female_juvenile"=>0.21937714441158662}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,5.238542260368123,8.297664898803061,3.8732667131458673,5.4669903124931665,9.643732951257817,0.0
2006,4.891819451097092,9.147763148793945,3.725227238861571,0.0,1.35556459265284,1.3990514431215637
2007,4.550139570585524,6.475859558703667,1.9469646820606674,2.3015754283807266,4.393287057376329,0.0
2008,8.176794257896091,8.887743357522808,0.0,0.0,0.0,0.0
2009,6.03332168074146,8.565167344568327,0.0,2.4631148550456907,2.9472008959490723,0.0
2010,9.07076492464786,10.906584078445093,2.597672485453034,1.1695359281437125,3.2093456144292176,0.0
2011,15.495250612342435,16.434900332601295,2.40639137549331,2.6820796845874293,4.918597216073976,0.0
