#{"white_adult"=>131.09235785791745, "white_juvenile"=>135.42888689531432, "black_adult"=>454.4055139627072, "black_juvenile"=>399.33529995233744, "male_juvenile"=>250.58358344052212, "female_juvenile"=>66.83629064833285}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,142.24273406921674,447.5779300510952,198.75447197561948,635.94778533973,382.7227993439038,88.35984128571904
2006,137.81576486490908,429.3719525507605,176.91878248425422,448.7179487179487,318.5341789992953,92.33472828272298
2007,121.13738837925656,408.21628040747413,147.8027671115987,342.2190201729107,257.26919469382284,76.77543186180422
2008,127.14465097160361,474.5160959956304,145.3361625439642,415.762834417932,273.8440863623109,60.17278184501211
2009,131.29593068781188,546.6793040417034,101.69350821849577,372.85607755406414,202.8804007514089,46.892706881504736
2010,130.1825792693233,386.4127781265258,93.5624639090105,244.91795248591723,164.1662878213871,55.81954542852235
2011,129.53260515643962,489.3105557373085,100.1352190914739,399.64476021314385,190.91207929805043,53.63795827836651
