#{"white_adult"=>57.55377947158337, "white_juvenile"=>329.60011677209474, "black_adult"=>125.56298576001973, "black_juvenile"=>450.443373427168, "male_juvenile"=>603.2470316709986, "female_juvenile"=>96.30156146103226}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,57.07426073111822,136.14151619057276,378.9338180301787,510.0511885905096,695.4323480986385,100.61224695641648
2006,59.15482777575945,126.30747048709523,440.69292098314037,550.0863296277224,823.4679708828457,102.76441385939171
2007,61.74993731830779,122.83745135730695,416.56884331554534,504.9640534063677,748.173662523212,102.11555631592735
2008,57.58130743756137,120.13532115870458,381.10936209744017,482.47387152144955,685.0427263685632,115.98126252372043
2009,57.817100326059375,127.08774768967733,295.7936404367306,487.8965417732053,563.4217839488297,101.31793088042889
2010,55.62537168906797,124.57253124304204,213.14336166197538,315.289223559148,382.6715161674974,79.7568608123541
2011,53.934363879814725,122.85278046925436,176.21074612480928,287.803412239992,316.59826427910156,70.59021565310883
