#{"white_adult"=>0.5186511267263519, "white_juvenile"=>0.0, "black_adult"=>4.934540577823737, "black_juvenile"=>5.292841138313701, "male_juvenile"=>2.682304501912818, "female_juvenile"=>0.34369339799351795}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,1.257719251908589,2.615017171946096,0.0,13.029881862404446,6.764374295377678,0.0
2006,1.4746093338557662,3.113252336885035,0.0,8.07297973682086,2.2924212553298795,2.341755848535232
2007,0.0,2.337868798803011,0.0,4.424387222369702,2.4127198590971606,0.0
2008,0.8010301247404161,3.919293900010974,0.0,3.9089985145805644,2.3749020352910444,0.0
2009,0.0,10.561653653200558,0.0,4.372349263259149,2.220840365994492,0.0
2010,0.0,8.79185288299509,0.0,0.0,0.0,0.0
2011,0.19531555180549695,2.781776581613848,0.0,4.089645018812368,2.5159764504604234,0.0
