#{"white_adult"=>76.85703919664262, "white_juvenile"=>201.60349446057066, "black_adult"=>270.5607469037542, "black_juvenile"=>583.2246849196002, "male_juvenile"=>570.9800753656981, "female_juvenile"=>43.00052149568622}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,55.789873022249004,225.29012652922222,106.40619884317363,406.8743547701464,377.44310325497963,30.349013657056144
2006,64.94538369594505,230.53469175280733,287.02030402891467,719.0982119720135,746.1600058236878,58.61664712778428
2007,94.1860890807371,267.5512402997543,234.70359956312598,546.9218968852131,594.3937858831476,49.26801801801801
2008,89.84754093228564,331.6091215861191,272.6757122289604,831.729873999131,735.7616495594514,62.22775357809583
2009,95.8634903896851,320.0069190685204,235.93664664117966,708.8459285295841,705.913254752602,55.57613931085587
2010,73.85093203962847,285.2795739825028,179.3667748241601,467.91443850267376,481.5458230471488,46.029919447640964
2011,62.255378391867396,225.99566499224423,124.0576390876992,423.0068738617003,386.9292131555933,11.85901997058963
