#{"white_adult"=>76.22501255300665, "white_juvenile"=>219.6409561290827, "black_adult"=>291.7178315641187, "black_juvenile"=>452.004094810615, "male_juvenile"=>403.1471598832489, "female_juvenile"=>55.201590387829825}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,91.35473950139742,351.4538558786346,259.68192917420515,726.7645003494059,483.18645853108865,76.86539182602175
2006,80.67272578269134,270.3246129443042,235.78994272346665,440.7330085826954,426.8999073215941,53.40839831355129
2007,75.37860076942243,344.8745292008894,272.15973583737485,527.6735459662289,475.23128324508184,84.40972085901613
2008,71.15895455539196,318.77112660990116,237.53879161717944,411.4071996259934,443.0490990526871,58.52221956529947
2009,68.56509250867323,233.18918002204697,191.4383970727843,458.5784069384907,360.8504301985578,46.41146548843426
2010,72.33595363091766,277.86536339271635,190.22384181588387,335.7582540570789,353.08983838884626,36.06481362219532
2011,75.34152274013677,259.33284534142007,149.29305348204093,335.8169797460384,279.733829023293,30.298838764070844
