#{"white_adult"=>40.60659476631567, "white_juvenile"=>596.9275030255524, "black_adult"=>206.16037750255794, "black_juvenile"=>2792.1564273720146, "male_juvenile"=>1339.5838846672464, "female_juvenile"=>944.7444723859778}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,27.040141645892678,133.5465061600677,530.9853474929427,2456.177180644484,1242.6972967620557,827.8752947340844
2006,24.71946884476522,150.40944794161885,388.8269434199617,2334.322453016815,1098.505312443724,594.5355191256831
2007,34.283955109008986,205.4413148244149,459.85357294124765,1972.9630982827914,879.3295628122033,808.9387734465847
2008,50.81033727551467,293.8706968933669,511.47817191683964,2601.6421010980316,1270.2333171613814,754.6074590044985
2009,73.36408284706985,326.06270700691596,852.9748628609319,4154.77323184269,2058.0450853335765,1216.0401486271294
2010,27.979854504756577,139.14887272847747,844.2838370565047,3175.6643824168477,1670.4098820887143,1397.7369972425597
2011,44.84044543659755,192.1388700246799,612.5655844674675,2917.5050301810866,1233.0550662479895,1024.6572778739533
