#{"white_adult"=>793.6093385902641, "white_juvenile"=>1641.6516320550713, "black_adult"=>2052.4217269102555, "black_juvenile"=>1859.3644354293442, "male_juvenile"=>2072.4628467756525, "female_juvenile"=>1919.9750247151255}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,912.6184225673856,2528.901734104046,1718.9572107233384,1269.0355329949239,2240.771783380658,1847.211513749679
2006,934.736506911566,1966.8508287292818,2136.8855586776285,837.8718056137411,2511.0646668305876,2450.46355208144
2007,799.6758600708838,5418.200946870069,1889.4736842105262,2500.0,2438.6869141097927,2191.8470194332263
2008,780.196493931805,1634.33908045977,1790.9966116280323,Infinity,2287.4259650078293,2068.1034809287526
2009,808.2165441343268,1542.3698058428597,1385.2892863661252,4402.51572327044,1924.2638782993863,1570.832577543987
2010,752.4570024570024,1672.1409375933115,1238.424634608948,3925.233644859813,1541.6652671883921,1625.916870415648
2011,588.8736460615492,2150.537634408602,1260.7054585864005,1289.6825396825395,1474.8718705062497,1641.1042944785274
