#{"white_adult"=>746.5183224999132, "white_juvenile"=>433.3179258160106, "black_adult"=>1867.9296239699847, "black_juvenile"=>983.5486260347932, "male_juvenile"=>899.8061350809451, "female_juvenile"=>357.5522998507563}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,1106.4401237811642,2478.851996501635,619.8961584354251,1314.6507315062847,1261.2865825808944,501.28825204538265
2006,810.2188629503553,2003.8781841475013,464.6836886900062,1168.627594493544,991.3136729222521,438.0008620969349
2007,837.4941473437647,2045.4777857311171,508.6618229138426,1020.7139810727007,1023.3284562543175,384.662740785714
2008,727.7212535566433,1868.4181827408866,471.5826004212058,1049.229300064888,968.7938667530505,381.75478571658266
2009,679.8828438320188,1805.5723550901876,389.68281392731166,952.4172107691039,826.6334503453743,342.7424846333336
2010,587.7735312358952,1618.358404709792,321.8297743143406,744.0938298736354,673.0938804303098,268.90771193648993
2011,530.7122422823401,1354.8348856724833,268.4911343409701,599.9556072020787,567.7515413149416,181.27086845652082
