#{"white_adult"=>1229.9198456779857, "white_juvenile"=>400.7123775601068, "black_adult"=>Infinity, "black_juvenile"=>Infinity, "male_juvenile"=>781.4535035165408, "female_juvenile"=>82.24435712327515}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,630.2521008403362,Infinity,202.1018593371059,NaN,363.901018922853,0.0
2006,897.7716026291882,Infinity,318.35868411743894,NaN,532.2687957418497,151.05740181268882
2007,1672.0078027030793,Infinity,240.09603841536614,Infinity,563.9097744360902,115.2073732718894
2008,1546.6452103169283,Infinity,211.97668256491787,Infinity,496.9630038652678,0.0
2009,1649.4391906751705,Infinity,841.4239482200647,Infinity,1622.596153846154,70.12622720897616
2010,1316.679442665825,Infinity,625.355315520182,NaN,1053.740779768177,185.1851851851852
2011,812.9303749043611,Infinity,348.3309143686502,NaN,718.132854578097,56.36978579481398
