#{"white_adult"=>233.74154733266334, "white_juvenile"=>169.3423870635698, "black_adult"=>447.3774248063784, "black_juvenile"=>519.8897203623474, "male_juvenile"=>574.562548968399, "female_juvenile"=>28.84159782451948}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,371.6604723254612,656.1588668240522,271.23792991211894,822.1430528912031,996.8847352024923,58.89281507656065
2006,353.66055197488015,786.6606443842217,258.4721424468696,645.6692913385828,827.0458502611724,31.14294612270321
2007,373.89758894738605,511.258566300446,122.15435868961688,426.62116040955635,465.5373076425708,0.0
2008,300.108549901028,626.5303183062076,250.40691123074996,383.8420764028514,659.1500433651344,38.99649031587157
2009,224.35366569798083,424.93441229723237,158.9825119236884,627.6619592019726,616.0164271047228,0.0
2010,14.693349789885097,74.46016381236039,58.42827928717499,249.19013207076998,180.66847335140017,30.613806826878925
2011,33.58173153804331,52.01947014453982,100.18785222291797,280.6563039723662,279.61736571008095,34.35245620061835
