#{"white_adult"=>150.72503484857668, "white_juvenile"=>383.23224732971926, "black_adult"=>1591.0347722381753, "black_juvenile"=>2889.4472361809044, "male_juvenile"=>1893.6127035665363, "female_juvenile"=>1238.4221776021764}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,208.99231812019883,2862.5798559195323,613.6560069144339,3484.593837535014,2547.7125376677927,1802.1793797150042
2006,130.14917461759808,1225.3547079417726,237.03883790190238,2210.5263157894738,1642.8402179922596,660.0196601600899
2007,109.08318182891414,1114.2649370147083,336.2585089805626,2371.809351705444,1660.4805626098846,1110.185956147655
2008,91.63243880426575,946.7675314428922,275.3705353527173,1659.7917894323316,1315.5555555555557,718.1487720542601
2009,164.30749224591648,1958.3635923505205,286.25954198473283,3038.948151823369,1585.9408486926702,1138.8957662787818
2010,153.3942275101466,1675.1018945671158,385.15956610595816,3522.02868852459,1922.4137931034484,1478.1634938409854
2011,199.31549111958483,1555.0585994119351,641.9753086419753,4370.568406369871,2672.0106880427525,2131.594315748491
