#{"white_adult"=>67.64553902639952, "white_juvenile"=>939.7302245637633, "black_adult"=>112.00773871649314, "black_juvenile"=>870.9276070227179, "male_juvenile"=>1625.8930625943572, "female_juvenile"=>231.96784027010287}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,77.72769998312887,175.55513380148037,538.9001287474711,553.290623179965,956.9053274516457,137.64382014540834
2006,73.02262803649934,162.21374045801525,876.3826713091262,743.7457741717376,1462.1122224105782,240.95268986608593
2007,62.4899767183361,99.47999095636446,1175.889964165397,1212.121212121212,2156.3563317345142,279.52197690905405
2008,64.29885415405198,50.07739233360649,1062.4815174686325,912.3492994460736,1774.7029628515568,310.7285324375394
2009,76.20373139478708,90.84616715694756,1019.069279216235,1513.0023640661939,1889.2885195750132,224.0635833262873
2010,64.08397610624601,117.31866175816175,947.0156864649604,536.9127516778523,1567.7491601343786,210.894732118819
2011,56.77905358874538,94.90940465918895,1024.8901903367496,1232.0328542094455,1692.2242874845106,236.18560251931308
