#{"white_adult"=>509.41357182645004, "white_juvenile"=>373.6007488831215, "black_adult"=>1901.4700301925393, "black_juvenile"=>1482.6472293547586, "male_juvenile"=>881.3661174820973, "female_juvenile"=>604.6763105917663}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,466.195648643781,2083.9064649243464,391.3342382203106,947.3197781885398,905.7439807122146,576.3404031089448
2006,459.8448475148929,1826.272900653066,338.97633112635293,1872.2466960352422,893.1374943306703,665.1160892806137
2007,475.94674737269605,1652.6784789141022,404.4864780365797,2704.056084126189,989.383157654401,557.7452219825984
2008,445.3483124072191,1889.5721240071741,400.56452617159937,894.328077194634,804.3973723019171,575.3485284354946
2009,576.7254748582035,2001.490471627808,331.7464482513026,1024.4735344336939,771.4285714285714,449.7695852534562
2010,553.7607148450877,1986.1986198619861,436.994788888433,1757.1466037241016,1023.7388724035608,726.7044344598555
2011,579.9801028723832,1919.6381613547912,311.403599825614,3004.53514739229,803.6026243254785,703.2348804500702
