#{"white_adult"=>447.8795492391111, "white_juvenile"=>19.38175163810236, "black_adult"=>759.8445036354474, "black_juvenile"=>32.824063022201, "male_juvenile"=>30.212488322780587, "female_juvenile"=>9.991771482308687}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,503.03409061957194,692.4653767311635,25.450079116550295,31.206116398814167,34.747772054615325,16.795995834593032
2006,493.86541540323,621.723001678652,24.054569509114966,18.433179723502302,32.2954251859771,15.515559890061175
2007,497.2531905476003,802.7395432612128,18.891315898223034,15.444015444015445,29.629304479511884,8.260659200604207
2008,464.1839546000424,808.8220788700164,23.277467411545622,64.1573994867408,39.156973396291605,9.865094828224036
2010,365.34958262233084,801.2468718444044,11.08770373655616,20.868113522537563,20.88627423678073,3.7058540140575396
2011,368.50084440611545,823.1814515295041,12.643671240464565,52.31037489102005,23.936806829968884,4.756525358225816
