#{"white_adult"=>298.9817961948705, "white_juvenile"=>120.02912181972019, "black_adult"=>1642.430350586711, "black_juvenile"=>856.409644306517, "male_juvenile"=>224.46210649624103, "female_juvenile"=>63.085302300066616}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,264.1434782413215,1749.912504374781,144.95479844643864,1029.8018411608675,266.7402501839588,76.14184778348842
2006,321.81669285761717,1960.4998652933498,161.50925241834332,1198.1566820276498,315.1588044010869,75.36129089458285
2007,208.50881776906667,1621.0446732338617,92.68551862565677,756.7567567567568,176.67844522968198,56.64452023271456
2008,348.2115524995879,1475.607109743347,135.3768499460943,812.6603934987169,236.09351606587586,76.45448491873628
2010,326.7969146335839,1527.8570487772752,103.48523487452417,834.7245409015025,191.45751383715668,58.05837955356812
2011,322.2132798518798,1538.811557633043,78.27034577430445,505.6669572798605,155.0193204226556,34.48480884713717
