#{"white_adult"=>43.14682056482399, "white_juvenile"=>3.3461042980709705, "black_adult"=>130.3929511849301, "black_juvenile"=>8.327694789985946, "male_juvenile"=>9.071529006213996, "female_juvenile"=>1.8980374292981057}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,75.43848620104356,282.33633315687314,12.44322777328439,0.0,16.1537840239076,0.0
2006,49.214349243996445,131.78740168519636,12.423903590508138,8.181297553792032,21.027546085371835,0.0
2007,45.21177193976586,93.93537760735012,0.0,0.0,0.0,0.0
2008,27.097480476265318,61.44192430877835,0.0,0.0,0.0,0.0
2009,38.38162594802616,138.718890248878,0.0,0.0,0.0,0.0
2010,51.458654949926775,174.77661002824203,0.0,0.0,0.0,0.0
2011,21.847070506454816,65.66836399651204,0.0,38.886728515082496,26.57030502710171,10.279605263157894
