#{"white_adult"=>452.2417035052303, "white_juvenile"=>710.8566961094318, "black_adult"=>2152.258491763472, "black_juvenile"=>2625.9147653895825, "male_juvenile"=>1043.8099147404157, "female_juvenile"=>491.6655353467159}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,522.6480836236934,3213.507625272331,800.9664995761552,10963.45514950166,1205.5094123467077,530.652334051783
2006,479.74663474338894,2776.2947143619863,804.743475759636,7308.970099667775,1143.6327305173995,583.7916728604441
2007,487.7341518455979,2133.0441070137385,745.360327789829,1779.7552836484983,1121.0995800215196,473.4091607746695
2008,440.03166771139445,2089.285714285714,789.2603521514965,1576.7131594906002,1170.713344626388,501.6480846760956
2009,427.42494948614234,1852.4484536082475,632.7227569077926,1229.375606599806,956.4330672667814,400.89312899624474
2010,415.08585560520476,1759.014951627089,608.2667079724046,4619.565217391304,857.1039862137771,486.4031050182868
2011,404.4602541264565,1862.7112797516384,616.7238915277555,3318.3856502242156,894.5189563569503,474.74012602192437
