#{"white_adult"=>138.31656249619934, "white_juvenile"=>135.50135501355012, "black_adult"=>633.3926657363281, "black_juvenile"=>595.1421521828079, "male_juvenile"=>818.8557246424139, "female_juvenile"=>55.685864227738314}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,101.68987069678231,471.4364947310039,221.23893805309734,384.5086613548975,598.5842181969603,45.02729779929082
2006,121.73044509644798,568.89797308806,171.52658662092625,580.8643553866949,786.7494824016562,64.31504477316578
2007,127.6001359054702,678.4054945794895,36.74579260674653,686.6658083344063,882.2181484876261,56.54945506888752
2008,134.03932313844558,634.3268071663134,77.53741180119407,545.19368723099,690.330225130081,50.33275543873385
2009,131.98730068133983,536.5987892129884,170.3272075302555,659.9887661486613,920.1889454634685,61.65988407941793
2010,150.94097244524374,697.9245926586729,176.0356765637836,690.3825870169719,980.2631578947369,70.52683546089287
2011,202.20558379756702,859.7700739366588,111.15742670557178,670.6408345752609,986.8670765960676,39.025913206369026
