#{"white_adult"=>1777.5675036328614, "white_juvenile"=>1618.4971098265894, "black_adult"=>Infinity, "black_juvenile"=>Infinity, "male_juvenile"=>6050.332507497718, "female_juvenile"=>1879.7601685302218}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,1669.6481812760883,Infinity,933.0406147091107,Infinity,3684.210526315789,573.3944954128441
2006,1287.6953554919658,Infinity,1196.6701352757543,Infinity,4146.576663452266,1468.9265536723165
2007,1590.1745313510019,Infinity,1167.9644048943271,Infinity,5015.673981191222,475.62425683709864
2008,1398.176291793313,Infinity,1297.2363226170332,Infinity,6815.365551425031,828.1573498964804
2009,2124.8515243500065,Infinity,1587.3015873015872,Infinity,4163.126593033136,3085.5539971949506
2010,2080.0889877641825,Infinity,2279.06976744186,Infinity,10457.516339869282,4427.645788336933
2011,2275.696864111498,Infinity,2454.728370221328,Infinity,6987.475280158208,2376.03305785124
