#{"white_adult"=>692.7782095907539, "white_juvenile"=>79.47976878612717, "black_adult"=>Infinity, "black_juvenile"=>Infinity, "male_juvenile"=>391.1852914330421, "female_juvenile"=>145.84346135148274}
Year,White Adult,Black Adult,White Juvenile,Black Juvenile,Male Juvenile,Female Juvenile
2005,822.8980322003579,Infinity,164.6542261251372,Infinity,1052.6315789473683,229.35779816513764
2006,374.2020691173234,Infinity,52.02913631633715,Infinity,0.0,225.98870056497177
2007,698.125404007757,Infinity,111.23470522803115,Infinity,313.4796238244514,237.81212841854932
2008,875.3799392097264,Infinity,0.0,Infinity,619.5786864931847,103.51966873706004
2009,857.859311072984,Infinity,0.0,Infinity,84.96176720475786,0.0
2010,611.7908787541713,Infinity,186.046511627907,Infinity,735.2941176470588,0.0
2011,664.1986062717771,Infinity,40.241448692152915,Infinity,131.83915622940012,206.61157024793388
